"Iteration: Iteration","Lift Coefficient Monitor: Force Coefficient"
1,-27.828243063688248
2,-11.873924771368943
3,-1.1279466876344857
4,-0.60395436475113984
5,-0.3383195918840553
6,3.140772238476806
7,3.20358693128401
8,3.1807500579808528
9,2.6679488203892214
10,1.8957699239080203
11,1.26614775164902
12,0.20872356264958439
13,0.096136940135924803
14,0.01340029463825701
15,-0.038390551511340465
16,-0.053631734828023456
17,-0.029541745367308771
18,0.26979568153991079
19,0.52085255550956555
20,0.76539691451774494
21,0.79909928970667621
22,0.82617066897503322
23,0.84534549571440587
24,0.88121459820069425
25,0.88513107920478296
26,0.88060921228911826
27,0.8683470606680419
28,0.85012193825257676
29,0.80732227167108805
30,0.73865098570829013
31,0.72142710214825767
32,0.69949046712481466
33,0.67759157465518138
34,0.65824550007549354
35,0.64122862736127506
36,0.6277020516000883
37,0.61542932678816098
38,0.60702756314722017
39,0.59952050530071055
40,0.59237818861043534
41,0.58819299891342536
42,0.58533198133837483
43,0.5842215184493188
44,0.58628561602128282
45,0.58782231437569654
46,0.59201808165288672
47,0.59576566510492324
48,0.59996101320990869
49,0.60329632152422774
50,0.60417788055513411
51,0.60460580534680797
52,0.60172685110147184
53,0.59616885930904684
54,0.58667604384924366
55,0.57409444776597784
56,0.55857323810688642
57,0.54221786398384242
58,0.52471383776375291
59,0.50726308755027294
60,0.49202472593217977
61,0.48003235390641447
62,0.47148357883834541
63,0.46796519697226929
64,0.46808529859144826
65,0.47203048591376967
66,0.47924649724273277
67,0.48822825385306179
68,0.49732447722687761
69,0.50604632715860809
70,0.51309561622022992
71,0.51673640714916025
72,0.51524380611383269
73,0.50906938935258794
74,0.49990173876572386
75,0.48864426123362714
76,0.47647457770822116
77,0.46486292510048949
78,0.45464859543406316
79,0.4478276550183462
80,0.44382635524168856
81,0.44114740570979438
82,0.44253478444003791
83,0.44817609628936961
84,0.45836997546165104
85,0.47212385125368828
86,0.48779147873333439
87,0.50350650700840749
88,0.51811035431540886
89,0.52818347064019533
90,0.5349573719067201
91,0.53470539829569119
92,0.52947554719540235
93,0.51805968506059252
94,0.50133315512189491
95,0.48067127008625143
96,0.45911702766834955
97,0.43817970734107686
98,0.42139076995704233
99,0.40991520161030309
100,0.40524408250073818
101,0.40901941675989095
102,0.41883956498090186
103,0.43468532113849695
104,0.45435595245437316
105,0.47491996679938825
106,0.49627030394797889
107,0.51602513037786679
108,0.53290441976286029
109,0.5459333739211838
110,0.55521236118836947
111,0.55951181872630651
112,0.55890097520379312
113,0.55365777746834655
114,0.54375150143772755
115,0.53045430277603345
116,0.51513892416249851
117,0.50014709851301808
118,0.48550293726942378
119,0.47298183594196963
120,0.46024365987342847
121,0.45636592770671069
122,0.45611063327753448
123,0.45674051569708385
124,0.45899997522178149
125,0.46245881069657041
126,0.46738569050127077
127,0.47358179879507145
128,0.48006152956404918
129,0.48618544362509375
130,0.49157192856900811
131,0.4954490935024492
132,0.49738578326297689
133,0.4967124910465503
134,0.49364703363732104
135,0.48882979845461183
136,0.48189308597969271
137,0.47370513368400291
138,0.46572116306619565
139,0.4583549087934588
140,0.45191721377562249
141,0.44717184125770776
142,0.44533487224914464
143,0.44513546786507613
144,0.44661429500343691
145,0.44998152191232449
146,0.45544006438568629
147,0.46214191748196504
148,0.47001131568010951
149,0.47756681336494372
150,0.48432499748322672
151,0.49082836033762706
152,0.4965432315278786
153,0.50000111472165321
154,0.50156529582723008
155,0.5018642663221542
156,0.49989850534816405
157,0.49558404453613047
158,0.48929676899728447
159,0.48092103418047866
160,0.47173728290752387
161,0.46270047231289851
162,0.45447038005453116
163,0.44664371079054083
164,0.44402170978937855
165,0.44341211246366113
166,0.44314925986321518
167,0.44369971564131994
168,0.44588264868377192
169,0.44959053864488235
170,0.45490183036324444
171,0.46134297531713986
172,0.46864047564029765
173,0.47841920989416598
174,0.48413864343991497
175,0.48883490263916035
176,0.49307199159652787
177,0.49699328874827253
178,0.50017436672470572
179,0.50102250316527908
180,0.50071015365561033
181,0.49775563271568651
182,0.48979682685044496
183,0.48337189888451704
184,0.47178109916333882
185,0.46397718738614874
186,0.45784951245211541
187,0.45414989287703239
188,0.45223825251473426
189,0.45207616997053868
190,0.45331687954355177
191,0.45507795560545533
192,0.45861291375301844
193,0.4640509511961754
194,0.47131522167054585
195,0.48007602088127876
196,0.49097747031975753
197,0.50382495424648865
198,0.51071238992612566
199,0.51816573994127624
200,0.52313774275298741
201,0.52760733873798948
202,0.52975708270686483
203,0.52960788728260944
204,0.52485690144420327
205,0.51873931864701184
206,0.50515076762397193
207,0.49152770087542408
208,0.48019180048992471
209,0.47008342421534971
210,0.46131559051499094
211,0.4557876275219076
212,0.4516926237896991
213,0.45061563521636788
214,0.45194353798618131
215,0.45479397049155651
216,0.4608056739172971
217,0.47284187264645089
218,0.48461617850422994
219,0.49744132655607898
220,0.50898523834937182
221,0.52068601422308169
222,0.5321845000408143
223,0.54095838489027737
224,0.54653781617079655
225,0.54693358553929949
226,0.54492247965453389
227,0.53581350923310489
228,0.52686031663512822
229,0.50993831181537519
230,0.49464749187013624
231,0.48263186308681744
232,0.47345754024048042
233,0.46600763828489022
234,0.46141502592690486
235,0.46011860316468695
236,0.46207548402701637
237,0.46492449406059272
238,0.47379382915308482
239,0.48094934790278404
240,0.49081216043066789
241,0.50298056561958848
242,0.51773174509226039
243,0.52646810702847491
244,0.53215726254112727
245,0.53547097088960871
246,0.53599819547743333
247,0.53554483951765397
248,0.53209567008233916
249,0.52606109459726347
250,0.51726907610479012
251,0.50606372637731223
252,0.49493938489814615
253,0.48457950254145177
254,0.47251548966516538
255,0.46870951021640211
256,0.46859863648431349
257,0.46921580258011925
258,0.47175499159978906
259,0.47414376385648543
260,0.47826862336642917
261,0.48408426993452347
262,0.49108120724739507
263,0.49820083648152286
264,0.50539655734082445
265,0.51282814467723292
266,0.51765952420842565
267,0.52092927528529576
268,0.52037827748173038
269,0.51708522043878735
270,0.51390478669331741
271,0.50892688125808461
272,0.50243048293377457
273,0.49407794207453903
274,0.48518569376511272
275,0.47692686339413798
276,0.46773304714852371
277,0.46467788772930774
278,0.46415381283161466
279,0.46412140617497422
280,0.46533747878111159
281,0.46720769898386577
282,0.47097932441891499
283,0.47654975731160981
284,0.48393832762682043
285,0.49241699721185755
286,0.50151581896679898
287,0.51232839792022156
288,0.5183500835872541
289,0.52267649322744159
290,0.5255683299776498
291,0.52704758059303058
292,0.52686730673758386
293,0.52488552667910493
294,0.52016148839373766
295,0.51275206951093233
296,0.5037144099500579
297,0.49403145861352254
298,0.48254512361704183
299,0.47735171501015883
300,0.47442217559377092
301,0.47261601988354179
302,0.47254791657794359
303,0.4727486775650861
304,0.47551418588634825
305,0.47879926055628863
306,0.48403416461619952
307,0.49165122075478795
308,0.50060306238086261
309,0.50976102044521765
310,0.52121934139335113
311,0.52760188816447129
312,0.53060461959524818
313,0.533176701928048
314,0.53480240494837827
315,0.53389131371410825
316,0.53157917132635601
317,0.52652350730913677
318,0.51890538161196509
319,0.50631710893329807
320,0.49661308525861508
321,0.48954264413252024
322,0.48450277889209314
323,0.48028087278480774
324,0.47717658685164832
325,0.4760146276003796
326,0.47610546420226302
327,0.47844868239315413
328,0.48135355612634823
329,0.48671940567448879
330,0.49430007579564633
331,0.50218067695972779
332,0.51207099364457032
333,0.51803764450213563
334,0.52210535605391062
335,0.52459895560514314
336,0.52538446680286455
337,0.52492173963768751
338,0.52272865108605604
339,0.51784738045320777
340,0.50791996858506683
